cell_id,H3tot,H3met,CK5,Fibronectin,CK19,CK8/18,TWIST1,CD68,CK14,SMA,Vimentin,Myc,HER2,CD3,H3phospho,ERK1/2,SLUG,ER,PR,p53,CD44,EpCAM,CD45,GATA3,CD20,betaCatenin,CAIX,Ecadherin,Ki67,EGFR,S6,Sox9,vWf_CD31,mTOR,CK7,panCK,cPARP_cCasp3,DNA1,DNA2
673,9.621048,0.57941884,0.109918915,5.156095,0.22843242,0.245223,0.14937837,0.41536486,0.16312836,3.193121,11.608631,0.26016894,0.2785743,0.07235135,0.20540541,0.19961487,0.09705406,0.105175674,0.4734122,0.07467568,14.9169855,0.29129055,0.050405405,0.09505405,0.006756757,0.09572974,0.42972976,0.8304999,1.2971216,0.3070878,1.6251823,0.27037162,0.76616883,0.6221689,0.041263517,0.4029121,0.6999933,2.3601356,4.199148
674,8.892335,0.5611465,0.09342241,1.2822672,0.6118965,2.0951896,0.12590519,0.1635862,0.081612065,2.8606641,3.8361385,0.16912068,0.39893967,0.040146552,0.23074138,0.115155175,0.11581034,0.02586207,0.42976728,0.08453448,10.974231,0.21466379,0.02586207,0.38933623,0.073784485,0.09724139,0.2601207,4.1343703,1.5550345,0.11819828,1.2057499,0.13223277,0.09207759,1.2205689,0.26280174,12.581006,0.4753621,3.4705348,6.5945077
675,7.4045734,0.9211733,0.13317333,10.251797,1.8577069,1.9162399,0.15634666,0.41930667,0.116399996,2.4838538,8.008067,0.5506267,0.87002665,0.036106665,0.43796,0.24348,0.57033336,0.11857333,0.8795733,0.14741333,38.512157,0.43001333,0.20198667,0.40072,0.093786664,0.42106664,1.2702134,7.0742407,0.31792,0.70258665,3.437667,0.57144004,0.104146674,1.348,1.1020136,27.916233,1.4703068,1.7045734,3.1437066
676,13.008037,1.0217209,0.12610853,4.291698,1.179031,0.66441846,0.08948062,0.08425581,0.06729458,0.185969,4.575032,0.18208526,0.48938757,0.04420155,0.1658062,0.17337984,0.7133411,0.06694573,0.5193643,0.09084496,5.755232,0.16978295,0.04384496,0.26017055,0.04196124,0.15378295,0.6653565,5.056108,0.19927905,0.37499222,2.3069842,0.44517052,0.15650389,0.6835039,0.6030465,21.037525,1.005155,3.2693024,6.9811697
677,9.431883,0.48333332,0.066988505,6.552264,0.31647128,0.48756316,0.14989655,0.4766552,0.08981609,0.59873563,4.576529,0.36568964,0.37344825,0.083839074,0.1307816,0.17570116,0.5477586,0.04329885,0.5780805,0.062425286,21.323732,0.2902069,0.07463218,0.646,0.022988506,0.12588505,0.5571264,2.096678,0.1371839,0.2525977,1.9262071,0.26293102,0.07557471,0.77852875,0.1968046,4.3160567,0.61935633,1.8882986,2.7242303
678,8.376416,0.6591622,0.1050473,6.6678514,0.4864459,1.0055066,0.19375676,0.902696,0.12947297,0.47961482,9.796044,0.43872973,0.5998176,0.3248108,0.115121625,1.0985136,0.9658377,0.0892027,0.9158919,0.11508108,51.81707,0.42812833,0.19389188,0.31925,0.06835811,0.136,0.70429057,2.4804053,0.17121622,0.3660811,2.7152634,0.47582427,0.11688513,0.83173645,0.14775674,8.887891,1.1080879,1.404277,3.0610342
679,4.66331,0.67548877,0.09368888,14.609474,0.24613331,0.14923333,0.10182222,1.2344111,0.06941111,0.35106668,12.550277,0.7548778,0.33752224,0.20794445,0.19262223,0.8791112,0.13905556,0.17718889,0.74889994,0.04058889,49.51353,0.4656889,0.30891111,0.2566778,0.12992223,0.111888885,0.9266888,0.40482223,0.13128889,0.24847779,2.2112112,0.33902222,0.17378889,0.56270003,0.011111111,0.37495553,0.7462778,2.6656332,6.389244
680,9.395898,0.8022307,0.041538462,8.076693,0.304,0.17376924,0.09225641,0.4305641,0.16828205,0.484,3.7698462,0.23379487,0.3083077,0.15384616,0.21171795,0.39353845,0.22407693,0.24033333,0.5653333,0.02825641,53.72084,0.7711281,0.19276923,0.20184615,0.066025645,0.07741026,0.7491794,1.1232308,0.102564104,0.23612823,2.009128,0.5480513,0.037717946,0.9028206,0.102564104,0.91446155,0.56807697,2.4714873,3.9783332
681,7.1030445,0.7030434,0.0,4.8952174,0.08004348,0.0,0.08695652,0.65756524,0.08695652,0.33786955,9.010087,0.53578264,0.10843478,0.0,0.2091739,0.24395652,0.04347826,0.19047827,0.6460434,0.0,23.850302,0.09443478,0.22234783,0.04347826,0.0,0.11208696,0.6320434,0.44191307,0.15030435,0.11565217,1.2830435,0.49,0.0,0.3985652,0.0,0.18608694,0.22439131,2.113348,3.4733913
682,7.3935266,0.43289477,0.05263158,1.385579,0.19705263,0.0,0.0,0.18994738,0.0,0.0,0.429579,0.10526316,0.0,0.0,0.05263158,0.0,0.043894738,0.0,0.05263158,0.05263158,3.557,0.32052633,0.0,0.0,0.0,0.05263158,0.25157893,0.38094735,0.0,0.0,0.5241579,0.39489475,0.0,0.18142106,0.031842105,0.20626317,0.0,2.3067894,4.4300003
683,34.904736,0.7177647,0.14713445,0.5796891,0.5238739,2.2268405,0.2712437,0.23109244,0.16843697,0.6484538,6.1946306,0.2843781,1.2565798,0.085857145,0.2164286,0.29535294,0.38142857,0.05146219,0.4339832,0.09189075,12.010126,0.47347054,0.06434454,0.32808405,0.08171429,0.21502522,0.63003373,4.5496807,0.24695799,0.50531936,3.2394543,0.2067647,0.07441177,1.8701342,0.35526893,18.668943,1.9849327,1.2126638,1.9960338
684,6.1510005,0.38394868,0.060717948,0.5895,0.15726924,0.5826539,0.10747435,0.23085897,0.07574359,0.42232054,2.6954613,0.19702566,0.59466666,0.025641026,0.185,0.46637177,0.12348718,0.045435898,0.28717947,0.06410257,13.978885,0.22244872,0.13566667,0.16334617,0.05824359,0.07683333,0.26683334,1.1846024,0.09196154,0.24292308,1.5790256,0.31982052,0.13658974,0.7262437,0.07129487,4.774923,0.40938464,1.3903846,2.351269
685,7.0075073,0.6378656,0.116835825,11.525164,0.1583433,0.15714926,0.122313425,3.460194,0.14449254,0.65747756,6.5928645,0.25947762,0.40461195,0.15431343,0.15550748,0.21367165,0.085970156,0.120731354,1.1255821,0.115805976,78.22869,0.776,0.90110457,0.14892536,0.12359702,0.25370148,0.405597,0.44667163,0.068895526,0.3131194,2.8383727,0.1458209,0.033895522,0.8084925,0.014925373,0.5860298,0.932373,0.9359403,2.2713134
686,11.801838,0.5563513,0.0,1.3288649,0.10810811,0.17308107,0.1891892,0.21667568,0.027027028,0.35345945,0.74632436,0.14010811,0.49316216,0.07524324,0.24475674,0.4548378,0.6875946,0.054054055,0.35683784,0.067324325,10.065811,0.19651352,0.034405407,0.3133243,0.08421622,0.109513514,0.31656754,1.0319188,0.06194595,0.12764865,1.4431891,0.31721622,0.13513513,0.19221622,0.054054055,2.1824594,0.23216216,3.849081,6.989919
687,11.066832,0.6356038,0.17250943,2.913113,2.5416226,2.0679998,0.3811132,0.2139434,0.13530189,0.58039623,12.53734,0.24918868,0.92077357,0.046509434,0.271283,0.32490563,0.24026413,0.056603774,0.5224528,0.0754717,22.925962,0.29167923,0.05930189,0.65981126,0.02228302,0.12598114,0.5604151,4.932188,0.33016983,0.3376981,2.3230002,0.5385283,0.07937735,1.5737547,0.75322646,20.44047,0.90094346,1.5956415,3.6548114
688,8.257553,0.6844493,0.07997101,0.548029,0.23750725,0.69765216,0.07526087,0.19091304,0.09718841,0.49349272,2.6098983,0.13452174,0.63640577,0.044318844,0.29597104,0.5513478,0.1561884,0.07844928,0.40160868,0.06797101,11.027418,0.26346377,0.061927535,0.2997536,0.1402029,0.20466667,0.30449274,2.5180435,0.028985508,0.20450725,1.5918261,0.3005942,0.13211595,1.5085071,0.17457971,6.8056087,0.66363776,2.1171303,3.5509422
689,4.988727,0.18400002,0.13636364,1.7064999,0.056636367,0.0,0.06545455,0.09254546,0.10154545,0.33172727,1.9992274,0.0,0.13636364,0.0,0.30577272,0.12077273,0.0,0.0,0.18959092,0.0,4.4238176,0.09090909,0.0,0.13918182,0.0,0.046318185,0.3470909,0.29295456,0.045454547,0.1510909,0.3557273,0.16072728,0.045454547,0.047227275,0.0,0.2352727,0.13290909,1.9246815,4.6586366
